2018-06-16 07:47:04 : INFO _internal.py =>  * Restarting with stat
2018-06-16 07:47:05 : WARNING _internal.py =>  * Debugger is active!
2018-06-16 07:47:05 : INFO _internal.py =>  * Debugger PIN: 475-809-491
2018-06-16 07:47:06 : INFO _internal.py =>  * Running on http://127.0.0.1:8082/ (Press CTRL+C to quit)
2018-06-16 07:47:36 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:47:36] "GET / HTTP/1.1" 200 -
2018-06-16 07:47:36 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:47:36] "GET /static/css/index.css HTTP/1.1" 200 -
2018-06-16 07:47:36 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:47:36] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:47:36 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:47:36] "GET /static/js/index.js HTTP/1.1" 200 -
2018-06-16 07:47:38 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:47:38] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:47:39 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:47:39] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:47:47 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:47:47] "GET /register HTTP/1.1" 200 -
2018-06-16 07:50:09 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:09] "GET /register HTTP/1.1" 200 -
2018-06-16 07:50:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:10] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:50:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:10] "GET /static/js/register.js HTTP/1.1" 404 -
2018-06-16 07:50:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:10] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:50:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:11] "GET /static/js/register.js HTTP/1.1" 404 -
2018-06-16 07:50:38 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:38] "GET /register HTTP/1.1" 200 -
2018-06-16 07:50:38 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:38] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:50:39 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:39] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:50:39 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:50:39] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:51:46 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:51:46] "GET /register HTTP/1.1" 200 -
2018-06-16 07:51:46 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:51:46] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:51:46 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:51:46] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:51:46 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:51:46] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
